OperatorName,OfficeLineId,OperatorLineId,ClusterName,FromDate,ToDate,ClusterId,LineType,LineTypeDesc,ClusterSubDesc
אגד,10500,500,קריית שמונה-חיפה,01/01/2012,01/01/2200,84,3,בינעירוני,,
אגד,10502,502,תחרות-קווי 500,01/01/2012,01/01/2200,117,3,בינעירוני,,
אגד,10504,504,תחרות-קווי 500,01/01/2012,01/01/2200,117,3,בינעירוני,,
אגד,10505,505,קריית שמונה-חיפה,01/01/2012,01/01/2200,84,3,בינעירוני,,
אגד,10509,509,קריית שמונה-חיפה,01/01/2012,01/01/2200,84,3,בינעירוני,,
אגד,10521,521,תחרות-קווי 500,01/01/2012,01/01/2200,117,1,עירוני,,
אגד,10524,524,תחרות-קווי 500,01/01/2012,01/01/2200,117,1,עירוני,,
אגד,10525,525,תחרות-קווי 500,01/01/2012,01/01/2200,117,1,עירוני,,
אגד,10531,531,תחרות-קווי 500,01/01/2012,01/01/2200,117,1,עירוני,,
אגד,10532,532,תחרות-קווי 500,01/01/2012,01/01/2200,117,3,בינעירוני,,
אגד,10541,541,תל אביב-גליל עמקים,27/03/2014,01/01/2200,77,3,בינעירוני,,
אגד,10542,542,תל אביב-גליל עמקים,27/03/2014,01/01/2200,77,3,בינעירוני,,
אגד,10546,546,תחרות-קווי חרדים,20/03/2012,01/01/2200,112,3,בינעירוני,,
אגד,10547,547,תחרות-קווי חרדים,07/03/2012,01/01/2200,112,3,בינעירוני,,
אגד,10549,549,תחרות-קווי חרדים,20/03/2012,01/01/2200,112,3,בינעירוני,,
אגד,10550,550,אגד תעבורה-קווי חרדים,01/01/2012,01/01/2200,115,3,בינעירוני,,
אגד,10551,551,תחרות-קווי 500,01/01/2012,01/01/2200,117,1,עירוני,,
אגד,10552,552,תחרות-קווי חרדים,01/01/2012,01/01/2200,112,3,בינעירוני,,
אגד,10553,553,תחרות-קווי 500,01/01/2012,01/01/2200,117,3,בינעירוני,,
אגד,10554,554,תחרות-קווי חרדים,28/03/2012,01/01/2200,112,3,בינעירוני,,
אגד,10555,555,תחרות-קווי חרדים,07/03/2012,01/01/2200,112,3,בינעירוני,,
אגד,10556,556,תחרות-קווי חרדים,07/03/2012,01/01/2200,112,3,בינעירוני,,
אגד,10557,557,תחרות-קווי חרדים,07/03/2012,01/01/2200,112,3,בינעירוני,,
אגד,10558,558,תחרות-קווי חרדים,07/03/2012,01/01/2200,112,3,בינעירוני,,
אגד,10560,560,תחרות-קווי חרדים,17/12/2013,01/01/2200,112,3,בינעירוני,,
אגד,10561,561,תחרות-קווי 500,01/01/2012,01/01/2200,117,1,עירוני,,
אגד,10564,564,תחרות-קווי 500,01/01/2012,01/01/2200,117,1,עירוני,,
אגד,10565,565,תחרות-קווי 500,01/01/2012,01/01/2200,117,1,עירוני,,
אגד,10567,567,תחרות-קווי 500,01/01/2012,01/01/2200,117,3,בינעירוני,,
אגד,10568,568,תחרות-קווי 500,01/01/2012,01/01/2200,117,3,בינעירוני,,
אגד,10570,570,תחרות-קווי 500,01/01/2012,01/01/2200,117,1,עירוני,,
אגד,10571,571,תחרות-קווי 500,01/01/2012,01/01/2200,117,1,עירוני,,
אגד,10572,572,תחרות-קווי 500,01/01/2012,01/01/2200,117,1,עירוני,,
אגד,10575,575,תחרות-קווי 500,01/01/2012,01/01/2200,117,2,אזורי,,
אגד,10620,620,תחרות-קווי 500,01/01/2012,01/01/2200,117,1,עירוני,,
אגד,10670,670,חיפה-ירושלים-אילת,01/01/2012,01/01/2200,118,3,בינעירוני,,
אגד,10700,700,תל אביב-חדרה,01/01/2012,01/01/2200,111,3,בינעירוני,,
אגד,10703,703,תל אביב-חדרה,01/01/2012,01/01/2200,111,3,בינעירוני,,
אגד,10723,723,תל אביב-גליל עמקים,27/03/2014,01/01/2200,77,3,בינעירוני,,
אגד,10728,728,ירושלים עירוני,14/11/2012,01/01/2200,91,1,עירוני,,
אגד,10735,735,ירושלים עירוני,27/08/2014,01/01/2200,91,1,עירוני,,
אגד,10740,740,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10741,741,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10742,742,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10746,746,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10749,749,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10750,750,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10752,752,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10753,753,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10754,754,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10755,755,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10756,756,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10757,757,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10758,758,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10760,760,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10762,762,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10763,763,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10765,765,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10770,770,אשכול דרומי,25/05/2014,01/01/2200,102,3,בינעירוני,,
אגד,10771,771,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10772,772,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10773,773,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10774,774,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10780,780,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10781,781,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10783,783,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10784,784,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10786,786,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10787,787,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10788,788,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10789,789,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10791,791,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10792,792,ירושלים עירוני,01/01/2012,01/01/2200,91,1,עירוני,,
אגד,10793,793,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10794,794,חיפה עירוני,01/01/2012,01/01/2200,81,2,אזורי,,
אגד,10795,795,חיפה עירוני,01/01/2012,01/01/2200,81,1,עירוני,,
אגד,10798,798,חיפה עירוני,03/11/2014,01/01/2200,81,2,אזורי,,
אגד,10800,800,ירושלים עירוני,08/09/2015,01/01/2200,91,1,עירוני,,
אגד,10802,802,ירושלים עירוני,29/07/2015,01/01/2200,91,1,עירוני,,
אגד,10803,803,ירושלים עירוני,29/07/2015,01/01/2200,91,1,עירוני,,
אגד,10804,804,ירושלים עירוני,29/07/2015,01/01/2200,91,1,עירוני,,
אגד,10805,805,ירושלים עירוני,29/07/2015,01/01/2200,91,1,עירוני,,
אגד,10808,808,תל אביב-חדרה,01/01/2012,01/01/2200,111,3,בינעירוני,,
אגד,10810,810,ירושלים עירוני,29/07/2015,01/01/2200,91,1,עירוני,,
אגד,10812,812,ירושלים עירוני,29/07/2015,01/01/2200,91,1,עירוני,,
אגד,10813,813,ירושלים עירוני,29/07/2015,01/01/2200,91,1,עירוני,,
אגד,10814,814,ירושלים עירוני,29/07/2015,01/01/2200,91,1,עירוני,,
אגד,10815,815,ירושלים עירוני,29/07/2015,01/01/2200,91,1,עירוני,,
אגד,10819,819,תל אביב-חדרה,01/01/2012,01/01/2200,111,3,בינעירוני,,
אגד,10821,821,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10822,822,ירושלים עירוני,29/07/2015,01/01/2200,91,1,עירוני,,
אגד,10825,825,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10826,826,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10827,827,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10832,832,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10834,834,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10836,836,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10840,840,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10843,843,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10845,845,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10846,846,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10847,847,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10848,848,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10849,849,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10852,852,תל אביב-חדרה,01/01/2012,01/01/2200,111,3,בינעירוני,,
אגד,10853,853,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10861,861,ירושלים עירוני,01/10/2015,01/01/2200,91,1,עירוני,,
אגד,10870,870,תל אביב-גליל עמקים,01/01/2012,01/01/2200,77,3,בינעירוני,,
אגד,10871,871,תל אביב-חדרה,01/01/2012,01/01/2200,111,3,בינעירוני,,
אגד,10872,872,תל אביב-חדרה,01/01/2012,01/01/2200,111,3,בינעירוני,,
אגד,10880,880,תל אביב-גליל עמקים,14/10/2012,01/01/2200,77,3,בינעירוני,,
