route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
10884,14,58,אבו סנאן סולטאן באשא א-אבו סנאן<->מתחם ביג כרמיאל-כרמיאל-2#,22058-2-#,3,
9969,14,70,בית ספר ניסויי תפן-כפר ורדים<->מ''ג המעפילים/הנרקיס-מעלות תרשיחא-2#,22070-2-#,3,FF9933
398,14,75,בית ספר ניסויי תפן-כפר ורדים<->מתת-מתת-21,22075-2-1,3,FF9933
9982,14,88,בית ספר נועם-צפת<->שפרינצק/קרן היסוד-צפת-21,22088-2-1,3,FF9933
9984,14,88,בית ספר בירב-צפת<->מצפה האגם 1-צפת-23,22088-2-3,3,FF9933
9985,14,88,אולפנת אמית-צפת<->נוף כנרת 8-צפת-24,22088-2-4,3,FF9933
9989,14,88,אולפנת אמית-צפת<->אצ''ל/צה''ל-צפת-29,22088-2-9,3,FF9933
312,14,22,תחנה מרכזית נהריה/רציפים-נהריה<->תחנה מרכזית נהריה/רציפים-נהריה-3#,23022-3-#,3,
12123,14,36,תחנה מרכזית נהריה/רציפים-נהריה<->מסוף שלומי-שלומי-1#,23036-1-#,3,
12124,14,36,מסוף שלומי-שלומי<->תחנה מרכזית נהריה/הורדה-נהריה-2#,23036-2-#,3,
12122,14,37,הגפן/התאנה-עבדון<->תחנה מרכזית נהריה/הורדה-נהריה-2#,23037-2-#,3,
12135,14,49,תחנה מרכזית נהריה/רציפים-נהריה<->ככר המועדון-הילה-1#,23049-1-#,3,
12136,14,49,מצפה הילה כיכר ב-הילה<->תחנה מרכזית נהריה/הורדה-נהריה-2#,23049-2-#,3,
16132,14,49,תחנה מרכזית נהריה/רציפים-נהריה<->בית ספר ניסויי תפן-כפר ורדים-1א,23049-1-א,3,
12142,14,50,מקאם נבי סבלאן-חורפיש<->תחנה מרכזית נהריה/רציפים-נהריה-2#,23050-2-#,3,
15249,14,50,מקאם נבי סבלאן-חורפיש<->תחנה מרכזית נהריה/רציפים-נהריה-2א,23050-2-א,3,
