service_id,sunday,monday,tuesday,wednesday,thursday,friday,saturday,start_date,end_date
35206784,1,1,1,1,1,0,0,20160518,20160524
35206785,0,0,0,0,0,1,0,20160518,20160524
35206786,0,0,0,0,1,0,0,20160526,20160526
35206787,1,1,1,1,1,0,0,20160527,20160717
35206788,0,0,0,0,0,1,0,20160527,20160717
35206789,1,1,1,1,1,0,0,20160518,20160524
35206790,0,0,0,0,1,0,0,20160526,20160526
35206791,0,0,0,1,0,0,0,20160525,20160525
35206792,1,1,1,1,1,0,0,20160518,20160524
35206793,0,0,0,0,0,1,0,20160518,20160524
35206794,0,0,0,0,1,0,0,20160526,20160526
35206795,0,0,0,1,0,0,0,20160525,20160525
35206796,1,1,1,1,1,0,0,20160527,20160717
35206797,0,0,0,0,1,0,0,20160526,20160526
35206798,1,1,1,1,1,0,0,20160518,20160524
35206799,0,0,0,1,0,0,0,20160525,20160525
35206800,1,1,1,1,1,1,0,20160526,20160717
35206801,1,1,1,1,1,0,0,20160518,20160524
35206802,1,1,1,1,1,1,0,20160518,20160524
35206803,0,0,0,1,0,0,0,20160525,20160525
35206804,1,1,1,1,1,0,0,20160526,20160717
35206805,0,0,0,0,0,1,0,20160518,20160524
35206806,0,0,0,0,0,1,0,20160527,20160717
35206807,1,1,1,1,1,1,0,20160518,20160524
35206808,0,0,0,1,0,0,0,20160525,20160525
35206809,1,1,1,1,1,1,0,20160518,20160524
35206810,0,0,0,0,1,0,0,20160526,20160526
35206811,1,1,1,1,1,1,0,20160527,20160717
35206812,0,0,0,1,0,0,0,20160525,20160525
35206813,0,0,0,1,0,0,0,20160525,20160525
35206814,0,0,0,0,1,0,0,20160526,20160526
35206815,1,1,1,1,1,1,0,20160527,20160717
35206816,0,0,0,1,0,0,0,20160525,20160525
35206817,1,1,1,1,1,0,0,20160518,20160524
35206818,0,0,0,0,0,1,0,20160518,20160524
35206819,0,0,0,0,1,0,0,20160526,20160526
35206820,1,1,1,1,1,0,0,20160527,20160717
35206821,0,0,0,0,0,1,0,20160527,20160717
35206822,1,1,1,1,1,1,0,20160518,20160524
35206823,0,0,0,0,1,0,0,20160526,20160526
35206824,1,1,1,1,1,1,0,20160527,20160717
35206825,0,0,0,0,1,0,0,20160526,20160526
35206826,1,1,1,1,1,0,0,20160527,20160717
35206827,0,0,0,0,0,1,0,20160527,20160717
35206828,0,0,0,1,0,0,0,20160525,20160525
35206829,1,1,1,1,1,0,0,20160518,20160524
35206830,0,0,0,0,0,1,0,20160518,20160524
35206831,0,0,0,1,0,0,0,20160525,20160525
35206832,1,1,1,1,1,0,0,20160518,20160524
35206833,0,0,0,0,0,1,0,20160518,20160524
35206834,0,0,0,0,1,0,0,20160526,20160526
35206835,1,1,1,1,1,0,0,20160527,20160717
35206836,0,0,0,0,0,1,0,20160527,20160717
35206837,0,0,0,0,1,0,0,20160526,20160526
35206838,1,1,1,1,1,1,0,20160527,20160717
35206839,0,0,0,0,1,0,0,20160526,20160526
35206840,1,1,1,1,1,0,0,20160527,20160717
35206841,0,0,0,0,0,1,0,20160527,20160717
35206842,1,1,1,1,1,0,0,20160518,20160524
35206843,0,0,0,1,0,0,0,20160525,20160525
35206844,0,0,0,0,1,0,0,20160526,20160526
35206845,1,1,1,1,1,0,0,20160527,20160717
35206846,1,1,1,1,1,1,0,20160518,20160524
35206847,0,0,0,1,0,0,0,20160525,20160525
35206848,0,0,0,0,1,0,0,20160526,20160526
35206849,1,1,1,1,1,1,0,20160527,20160717
35206850,1,1,1,1,1,1,0,20160518,20160524
35206851,0,0,0,1,0,0,0,20160525,20160525
35206852,1,1,1,1,1,0,0,20160518,20160524
35206853,0,0,0,0,0,1,0,20160518,20160524
35206854,0,0,0,1,0,0,0,20160525,20160525
35206855,0,0,0,1,0,0,0,20160525,20160525
35206856,1,1,1,1,1,0,0,20160518,20160524
35206857,0,0,0,0,0,1,0,20160518,20160524
35206858,0,0,0,1,0,0,0,20160525,20160525
35206859,1,1,1,1,1,0,0,20160527,20160717
35206860,0,0,0,0,0,1,0,20160527,20160717
35206861,0,0,0,0,0,1,0,20160518,20160524
35206862,1,1,1,1,1,0,0,20160518,20160524
35206863,0,0,0,0,0,1,0,20160518,20160524
35206864,0,0,0,1,0,0,0,20160525,20160525
35206865,0,0,0,0,1,0,0,20160526,20160526
35206866,1,1,1,1,1,0,0,20160527,20160717
35206867,0,0,0,1,0,0,0,20160525,20160525
35206868,1,1,1,1,1,0,0,20160527,20160717
35206869,0,0,0,0,0,0,1,20160527,20160717
35206870,0,0,0,0,0,1,0,20160527,20160717
35206871,0,0,0,1,0,0,0,20160525,20160525
35206872,0,0,0,1,0,0,0,20160525,20160525
35206873,0,0,0,0,1,0,0,20160526,20160526
35206874,0,0,0,0,0,1,0,20160518,20160524
35212153,0,0,0,0,1,0,0,20160526,20160526
35212154,1,1,1,1,1,0,0,20160529,20160717
35212155,0,0,0,0,0,1,0,20160518,20160524
